transaction_id,customer_id,card_number,transaction_ts,transaction_date,derived_hour,day_of_week,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour_raw,is_fraud,velocity_num_transactions,velocity_total_amount,velocity_unique_merchants,velocity_unique_countries,velocity_max_single_amount
TX_4e6f041a,CUST_59842,372351007267419,2024-10-04 10:50:10.147343,2024-10-04,10,5,Healthcare,medical,Local Hospital,125210.19,RUB,Russia,Unknown City,medium,Platinum Credit,True,NFC Payment,pos,6b8a9828754ae9ad418bcdcc7564c80c,138.237.142.78,1.0,False,10,False,"{'num_transactions': 390, 'total_amount': 37735992.606498696, 'unique_merchants': 99, 'unique_countries': 12, 'max_single_amount': 894082.8957300531}",1,390.0,37735992.606498696,99.0,12.0,894082.8957300531
TX_4e6f041a,CUST_80221,4955105290974603,2024-10-11 02:34:28.836582,2024-10-11,2,5,Gas,major,Chevron,408.36,GBP,UK,Unknown City,medium,Platinum Credit,False,Android App,mobile,ab23ab980a8c4862b584d43a129ec1f7,234.109.48.16,0.0,False,2,False,"{'num_transactions': 176, 'total_amount': 7792359.024021874, 'unique_merchants': 78, 'unique_countries': 12, 'max_single_amount': 1563318.4264067004}",0,176.0,7792359.024021874,78.0,12.0,1563318.4264067004
TX_4e6f041a,CUST_18649,5233542257151612,2024-10-20 14:48:02.213860,2024-10-20,14,0,Healthcare,pharmacy,CVS Pharmacy,135171.89,JPY,Japan,Unknown City,medium,Platinum Credit,False,Android App,mobile,ac4ecd836e425745346aa8b51e758a7c,16.254.177.121,0.0,False,14,True,"{'num_transactions': 161, 'total_amount': 19467722.36075547, 'unique_merchants': 77, 'unique_countries': 12, 'max_single_amount': 890583.6046877723}",0,161.0,19467722.36075547,77.0,12.0,890583.6046877723
TX_eef2ac1b,CUST_25843,371121781940866,2024-09-30 02:09:33.296889,2024-09-30,2,1,Education,online,Skillshare,1266.67,NGN,Nigeria,Unknown City,medium,Basic Credit,False,iOS App,mobile,3036ba56355c42fee8ee01d2947abbd3,31.129.39.120,1.0,False,2,False,"{'num_transactions': 1555, 'total_amount': 69196989.0782921, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2254294.2706541754}",1,1555.0,69196989.0782921,105.0,12.0,2254294.2706541754
TX_eef2ac1b,CUST_67961,5892380948783564,2024-10-12 06:05:49.939609,2024-10-12,6,6,Travel,airlines,United Airlines,1227.99,EUR,France,Unknown City,medium,Platinum Credit,False,iOS App,mobile,0fdbef3d6a89333e6735428aeb22cfbe,145.147.75.50,0.0,True,6,True,"{'num_transactions': 947, 'total_amount': 23373002.270949192, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1243853.4626716229}",0,947.0,23373002.270949192,105.0,12.0,1243853.4626716229
TX_eef2ac1b,CUST_44145,377555925673178,2024-10-12 13:14:05.886552,2024-10-12,13,6,Retail,physical,Walmart,275.01,CAD,Canada,Unknown City,medium,Basic Debit,False,Firefox,web,f0b1c0dc2d9235d876e3a43cb5dd258b,38.79.197.210,0.0,False,13,True,"{'num_transactions': 358, 'total_amount': 9137592.042718355, 'unique_merchants': 96, 'unique_countries': 12, 'max_single_amount': 1354653.3320839086}",0,358.0,9137592.042718355,96.0,12.0,1354653.3320839086
TX_f4ea6740,CUST_88989,4504157304517205,2024-10-03 13:46:59.324966,2024-10-03,13,4,Entertainment,events,Regal Cinemas,346.32,EUR,France,Unknown City,medium,Basic Debit,False,Safari,web,0a0a87c14a022261dd2b1c32e9d61bb3,79.45.119.193,0.0,True,13,False,"{'num_transactions': 1230, 'total_amount': 22224250.762202498, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1044958.7230275415}",0,1230.0,22224250.762202498,105.0,12.0,1044958.7230275415
TX_f4ea6740,CUST_78757,374046196068887,2024-10-19 04:29:16.510751,2024-10-19,4,6,Education,supplies,Barnes & Noble,783911.88,NGN,Nigeria,Unknown City,medium,Platinum Credit,False,Firefox,web,289f832b6f57d97f2d79f8bf8c8cbb69,204.250.20.97,1.0,False,4,True,"{'num_transactions': 114, 'total_amount': 3098134.9015150447, 'unique_merchants': 65, 'unique_countries': 11, 'max_single_amount': 882301.3445105858}",1,114.0,3098134.9015150447,65.0,11.0,882301.3445105858
TX_f4ea6740,CUST_58809,371181382171717,2024-10-29 16:48:48.369784,2024-10-29,16,2,Entertainment,streaming,Spotify,236.92,AUD,Australia,Unknown City,medium,Gold Credit,False,Firefox,web,2c22a50ae3ee77d84250c6c21dce0d7c,22.79.95.12,0.0,True,16,False,"{'num_transactions': 14, 'total_amount': 109224.41361260269, 'unique_merchants': 12, 'unique_countries': 6, 'max_single_amount': 60911.67281533254}",0,14.0,109224.41361260269,12.0,6.0,60911.67281533254
TX_706baadf,CUST_93204,4936249556543183,2024-10-07 11:53:07.132315,2024-10-07,11,1,Gas,local,Local Gas Station,669.57,SGD,Singapore,Unknown City,medium,Basic Debit,False,iOS App,mobile,c2bcad2dec5f2a2b9ccf0b621b7dbb18,15.5.172.132,1.0,False,11,False,"{'num_transactions': 760, 'total_amount': 30937759.953068152, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 920706.7973148434}",0,760.0,30937759.953068152,105.0,12.0,920706.7973148434
