transaction_id,customer_id,card_number,transaction_ts,transaction_date,derived_hour,day_of_week,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour_raw,is_fraud,velocity_num_transactions,velocity_total_amount,velocity_unique_merchants,velocity_unique_countries,velocity_max_single_amount
TX_08993e30,CUST_85188,6915403402912841,2024-10-01 09:04:21.809549,2024-10-01,9,2,Restaurant,fast_food,Wendy's,290.75,EUR,France,Unknown City,medium,Premium Debit,False,Safari,web,e052a29e2d99a40ceb683f0e565833fc,49.152.157.175,1.0,False,9,False,"{'num_transactions': 257, 'total_amount': 7319806.325707864, 'unique_merchants': 89, 'unique_countries': 12, 'max_single_amount': 1046816.7093555179}",0,257.0,7319806.325707864,89.0,12.0,1046816.7093555179
TX_08993e30,CUST_36510,5293933000948668,2024-10-13 19:48:12.899497,2024-10-13,19,0,Gas,local,Highway Gas Stop,364.61,EUR,France,Unknown City,medium,Basic Debit,False,Safari,web,cbe63830f0bb8483270870a22d677656,69.185.181.130,0.0,False,19,True,"{'num_transactions': 592, 'total_amount': 12491904.338577904, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1407849.782295935}",0,592.0,12491904.338577904,103.0,12.0,1407849.782295935
TX_0a76bf38,CUST_34434,373008498753658,2024-10-08 22:06:50.535403,2024-10-08,22,2,Healthcare,medical,Local Hospital,718.21,SGD,Singapore,Unknown City,medium,Gold Credit,False,Edge,web,acfcdbf69e4dcdb1155761b99dac7c33,91.70.126.151,0.0,False,22,False,"{'num_transactions': 733, 'total_amount': 19741178.144219004, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 4428801.866927261}",0,733.0,19741178.144219004,103.0,12.0,4428801.866927261
TX_0a76bf38,CUST_83882,5637011502131169,2024-10-26 06:41:29.746618,2024-10-26,6,6,Retail,online,eBay,8352.06,BRL,Brazil,Unknown City,medium,Platinum Credit,False,Firefox,web,432608e8f66eac9d9ae448edb4dd8def,224.220.131.222,0.0,False,6,True,"{'num_transactions': 104, 'total_amount': 4600032.729229468, 'unique_merchants': 62, 'unique_countries': 12, 'max_single_amount': 690771.9180679885}",0,104.0,4600032.729229468,62.0,12.0,690771.9180679885
TX_118f0af4,CUST_31091,378780487772742,2024-10-06 16:45:39.864379,2024-10-06,16,0,Entertainment,events,LiveNation,1250.97,SGD,Singapore,Unknown City,medium,Platinum Credit,False,Safari,web,d2d22d76385cdbf9baecb4423542f0dd,133.55.195.171,0.0,True,16,True,"{'num_transactions': 720, 'total_amount': 19603299.538870007, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2054072.316488459}",0,720.0,19603299.538870007,105.0,12.0,2054072.316488459
TX_118f0af4,CUST_23201,5816375265321546,2024-10-29 20:53:11.646879,2024-10-29,20,2,Travel,airlines,United Airlines,1593.37,EUR,Germany,Unknown City,medium,Premium Debit,False,Android App,mobile,f95554fb6a45addc31d1c4e7cba57e50,66.161.64.38,0.0,True,20,False,"{'num_transactions': 14, 'total_amount': 142421.1591027552, 'unique_merchants': 14, 'unique_countries': 4, 'max_single_amount': 136635.53894139233}",0,14.0,142421.1591027552,14.0,4.0,136635.53894139233
TX_175ff213,CUST_17730,4187507028742055,2024-10-14 06:23:02.255324,2024-10-14,6,1,Entertainment,events,AMC Theaters,815.39,AUD,Australia,Unknown City,medium,Platinum Credit,False,Chrome,web,5f7804388028abd6c5b24287570dfb3b,33.67.224.179,0.0,True,6,False,"{'num_transactions': 245, 'total_amount': 6852470.621936885, 'unique_merchants': 93, 'unique_countries': 12, 'max_single_amount': 1525659.8970729746}",0,245.0,6852470.621936885,93.0,12.0,1525659.8970729746
TX_175ff213,CUST_25938,370473668387898,2024-10-23 13:27:57.419298,2024-10-23,13,3,Education,supplies,Chegg,322.17,EUR,Germany,Unknown City,medium,Basic Credit,False,iOS App,mobile,a5db00c85cc122666fbf3f4699e36661,230.66.56.224,0.0,False,13,False,"{'num_transactions': 169, 'total_amount': 1889547.9717361236, 'unique_merchants': 82, 'unique_countries': 12, 'max_single_amount': 508920.18136908923}",0,169.0,1889547.9717361236,82.0,12.0,508920.18136908923
TX_182ae9b0,CUST_29889,4513652262886880,2024-09-30 19:16:40.899453,2024-09-30,19,1,Education,supplies,Barnes & Noble,11608.27,MXN,Mexico,Unknown City,medium,Gold Credit,False,Firefox,web,47e8a1b7f22ff13c6d9871395691efaa,40.74.45.183,1.0,False,19,False,"{'num_transactions': 190, 'total_amount': 4167376.897948663, 'unique_merchants': 72, 'unique_countries': 12, 'max_single_amount': 985258.5279810281}",0,190.0,4167376.897948663,72.0,12.0,985258.5279810281
TX_182ae9b0,CUST_93497,5522418347232227,2024-10-28 02:20:58.325693,2024-10-28,2,1,Entertainment,streaming,Spotify,93.27,AUD,Australia,Unknown City,medium,Basic Debit,False,iOS App,mobile,6edc61bdc54eea255efdca1ce729c68a,98.5.156.79,0.0,True,2,False,"{'num_transactions': 138, 'total_amount': 3177732.3588724206, 'unique_merchants': 81, 'unique_countries': 10, 'max_single_amount': 695341.4745418202}",0,138.0,3177732.3588724206,81.0,10.0,695341.4745418202
